text,binary_label
"have you tried everything to stop smoking and still struggle to kick the habit? well, don’t beat you... <truncated>",0
summary: a new study sheds light on how ziram causes the loss of the main source of dopamine in the ... <truncated>,0
"in contrast to at least 6000 years of the practice of natural medicine, western medicine treats the ... <truncated>",0
"by now, most of us are aware of the controversy surrounding genetically modified crops that are horr... <truncated>",5
"if you find yourself in a lousy mood, did you know you can change it in virtually an instant? not to... <truncated>",5
  my sordid past   my patients look at me with a mixture of incredulity and disbelief when i try to ... <truncated>,5
in an era when even people in their twenties are seeking botox treatments and expensive skin care re... <truncated>,0
we live in an age where the reports about the spread and appearance of diseases aren’t that shocking... <truncated>,5
"the following guest post was written by my friend and kundalini teacher, sukhdev jackson. her story ... <truncated>",4
"as your body’s official defense department, the immune system protects against all enemies. toxins i... <truncated>",5
how would you like to do an easy and incredibly sweet weekend detox called banana island diet to hel... <truncated>,0
it’s more than a little depressing when somebody smiles at your stomach and asks when your due date ... <truncated>,0
"we know that what we eat affects our health exponentially, especially when coupled with exercise. un... <truncated>",5
first it was wakame. and then acai berries. now it’s green coffee beans. seem like there’s no dearth... <truncated>,0
the pomegranate or punica granatum originates from persia. it was cultivated over the whole mediterr... <truncated>,0
"a top seller for decades, vitamin c remains a popular nutritional supplement, but is there more to t... <truncated>",5
"there was an article that appeared in hawaii’s newspaper that not only got my attention, it affected... <truncated>",3
"vegetarianism is a choice people make for various reasons. be it for a healthier lifestyle, religiou... <truncated>",5
"in this ever changing world of healthcare, chronic illness is on the rise and advancements in techno... <truncated>",0
"magnesium sulfate is an inorganic salt containing magnesium, sulfur and oxygen. you may know this ty... <truncated>",0
oily skin and acne breakouts go hand in hand. are you one of those you try lots of cosmetic creams t... <truncated>,2
type 2 diabetes has become a rising epidemic in the united states. 25.6 million adults in the united... <truncated>,3
     (natural news)  are liquid soaps cleaner and safer to use than bar soaps? a number of people se... <truncated>,5
"take two natural remedies — elderberry and echinacea — both of which have proven healing abilities, ... <truncated>",0
"“it was the best of times, it was the worst of times,” so said charles dickens, in his famous novel ... <truncated>",1
"with reports claiming that vitamins, such as vitamin a and e, cause cancer, people have become conce... <truncated>",5
today we’re bringing you the lowdown on what your morning cup of coffee can do for you. for many of ... <truncated>,5
cholesterol is the primary nutrient of the brain some facts about cholesterol cholesterol is a type ... <truncated>,0
"a couple of years ago, andrew baker of food freedom news wrote an article entitled, the vaccine hoax... <truncated>",0
eli lilly & co has ended its clinical trial of an antibody drug early after it was shown to not help... <truncated>,0
water is one of the best substances for your health. unlike sugary drinks on the market that include... <truncated>,5
"originally published on www.orthomolecular.org by andrew w. saul, editor vitamin c used for covid-19... <truncated>",0
"let’s get real for a minute. people around the world that are getting fatter, we have a weight issue... <truncated>",4
have you ever experienced an unexplained bout of ravenous hunger moments after eating out at a resta... <truncated>,2
"more and more, we find ourselves living in a “salt-a-phobic” society. ironically, too much salt is o... <truncated>",0
"imagine never again hearing the sound of your lover whispering sweet nothings into your ear, the pur... <truncated>",0
"now that we are knee-deep in summer, no doubt we are more conscious than ever of how our legs look. ... <truncated>",0
     (natural news)  it’s practically a given at this point that whenever a power plant is in operat... <truncated>,0
"eating well is not just for the wellbeing of our bodies, but our minds too. the brain requires a reg... <truncated>",5
"when was the last time you wrote something in longhand, other than signing your name to a check? you... <truncated>",5
"caffeine – it’s the world’s drug of choice. no matter where you go, it’s become the most used drug b... <truncated>",0
"before the late show and video games, reading was one of the only options for entertainment. sadly, ... <truncated>",0
"babies love it, the elderly love it – and you know? you do too. but for those of you who find it har... <truncated>",5
"on the one hand, you want to keep your children safe, but on the other you want them to enjoy their ... <truncated>",2
everyone knows that balanced nutrition is an essential part of good overall health and wellness. it’... <truncated>,0
"almost 2 years ago i was diagnosed, after many medical tests, with multiple sclerosis. the prognosis... <truncated>",4
"today we know more about vitamins, minerals and nutrition in general then ever before, but at the sa... <truncated>",2
got milk? we are all familiar with the infamous ad campaign featuring adorable kids and celebrities ... <truncated>,5
"recently, mike adams wrote an article regarding karma. i would like to add to that. first and foremo... <truncated>",5
"when it comes to sugar substitutes, the choice is endless. one can come across natural sweeteners, a... <truncated>",5
"america’s obesity epidemic is slowly killing us. obesity leads to diabetes and heart problems, which... <truncated>",5
"there’s this doctor, dr. joel wallach, who wrote a book entitled, “dead doctors don’t lie”. in his b... <truncated>",3
"migraines are a fairly common health problem in the united states, affecting 36 million individuals.... <truncated>",3
"text excerpted from eating clean, © 2016 by amie valpone. reproduced by permission of houghton miffl... <truncated>",5
pop quiz:  which of the following common health problems can be treated with aloe?  irritable bowel ... <truncated>,4
      i’ve always found it interesting when modern medicine dictates which diseases are not curable ... <truncated>,5
"with stress levels scaling newer heights every day, it has become increasingly important to curb ang... <truncated>",5
have a child suffering from adhd? then this usfda-approved video game might be just what they need. ... <truncated>,5
a man asked an old american indian what his wife’s name was. his reply was five horses. the man said... <truncated>,0
"dieting is tough, but learning to live a healthy lifestyle can be even tougher. we’re creatures of h... <truncated>",4
"by long island attorney paul a. lauto, esq. the disposal of america’s waste and garbage is a growing... <truncated>",5
there should be deep concern and appall at the alarmingly poor state of health of the american peopl... <truncated>,0
"turning the big 3-0 is when many women feel they are officially an adult, as they often have a job a... <truncated>",0
"senior citizens are living longer and healthier lives than ever before, meaning that just because yo... <truncated>",5
"not all fats are bad. just like other nutrients required by the body, it would be incorrect to overl... <truncated>",5
"any time you embark on a life change, it will come with some form of resistance. the strongest of wh... <truncated>",5
" by kelly brogan, md why i need your help to get the word out when i submitted a mind of your own to... <truncated>",0
"everywhere you look today it seems like someone is touting the benefits of using essential oils, but... <truncated>",0
“over 90% of men who treated their scalp with raw onion juice experienced positive hair regrowth.” o... <truncated>,0
"by jacky jones second opinion: hpv vaccination programme makes no economic sense, writes jacky jones... <truncated>",4
eighth-grader cole eicher says he’s back to doing “regular things.” by this he means going to school... <truncated>,0
spending more than four hours a day sitting in front of the tv increases your risk of obstructive sl... <truncated>,0
the menstrual cycle is a woman’s regular part of life. the effects of menstruation vary from one wom... <truncated>,5
you have probably seen guys at the gym drinking protein shakes and wondered whether it’s with a good... <truncated>,5
november 2006 pdf and another thing migraines with aura symptoms may complicate heart health in wome... <truncated>,3
fats & oils we have been misled about what are healthy fats and how to use (and store) them.  satura... <truncated>,5
"“a place for everything, and everything in its place.”  the magical season of fall is fast approachi... <truncated>",2
substance abuse and drug addiction are affecting millions of people but you don’t have to be one of ... <truncated>,0
"sometimes, understanding certain simple things can turn out to be complicated but that should not de... <truncated>",5
"everyone hates pimples. trust me. pimples not only have an impact on on your skin and how it looks, ... <truncated>",4
going vegan is a huge lifestyle change—one that can improve your life and health for the better. bei... <truncated>,5
"when you’re talking about alcoholic beverages, the first thing that comes to people’s minds generall... <truncated>",0
"i’ve always been allergic to dogma. in any institutional setting – educational, religious, medical, ... <truncated>",5
 drug company promotions reach new low this has got to be a first. whenever pixar or disney release ... <truncated>,0
"wake up to healthy, smooth, and radiant skin every morning! easily following this diy natural exfoli... <truncated>",5
best ever cauliflower pizza crust i’ve been in a bit of a slump lately as far as trying new recipes.... <truncated>,3
"ugh! bloating, gas and abdominal swelling are commonly experienced by men and women of all ages – ac... <truncated>",5
"do you have cabinets jam packed with pills, tablets, ointments and the latest, greatest supplements ... <truncated>",5
"when it comes to sleeping, everyone has an opinion on how much is too much and how little is too lit... <truncated>",5
chemical household cleaners are ubiquitous in supermarkets and hardware stores worldwide. it would b... <truncated>,1
the power of meditation is such that it can heal a number of health conditions that affect both the ... <truncated>,1
"previously, i demonstrated that cholesterol is a vital component of our brain (1). without it, our n... <truncated>",5
at face value it looks as if a meditating person isn’t doing very much as they sit serenely with the... <truncated>,5
"for the most part, when we read textbooks or try to figure out the jargon associated with nutrition,... <truncated>",0
" as the world becomes more urbanised, and more people live in apartments without any connection to t... <truncated>",0
the journal of physiological anthropology has published a series looking at the effects of the moder... <truncated>,0
"when the idea of writing this article struck me, i wasn’t too sure whether to go with it because out... <truncated>",1
"the loofah plant is one of the most versatile plant. this vegetable can be used for food, cleaning, ... <truncated>",0
a side effect of chronic disease is the number of solicitations patients get asking them to particip... <truncated>,0
"like vitamins, minerals are micronutrients, which our bodies require, in small but steady supplies. ... <truncated>",4
"what kind of a person would murder their own children? a sociopath, right? a deranged menace to soci... <truncated>",0
the center for disease control and prevention report has released a report specifying leading causes... <truncated>,0
a new study publicized in plos one has analyzed the level of antibiotic resistant genes found in the... <truncated>,3
an easily burnable form of energy comes to us in the form of sugar or starch. carbohydrates have a v... <truncated>,5
"liam hemsworth is known for his great physique, just like his brother chris. recently, he admitted t... <truncated>",4
( this information is not to be used in place of medical advice. you are strongly encouraged to chec... <truncated>,5
“it feels like i’m plugged into an electric socket and every move i make shoots voltage throughout m... <truncated>,5
"if it is asked to defined, ‘itching skin’, it can be said to be an inflammatory reaction of the skin... <truncated>",0
" deer antler velvet has been at the center of a sporting controversy in the early part of 2013, just... <truncated>",0
"  when life gives you lemons, you freeze them! i know you all want some healthy tips, for better nut... <truncated>",0
there are few words that light most people up like the word “chocolate”. it is one of the few foods ... <truncated>,0
cancer treatment has always been the hot topic of research for the researchers. several pieces of re... <truncated>,0
"prostatitis is perhaps the most common prostate condition for men below the age of 50, although it c... <truncated>",4
whether you are looking to make lifestyle changes because it’s something you decided to for yourself... <truncated>,0
"electromagnetism rules everything, human’s emotions included as much as the electric universe theory... <truncated>",5
"beauty is desired in all parts of the world, and this is why women from different regions have their... <truncated>",3
"are you tired of popping pills to alleviate your chronic back pain? now, you need not worry any more... <truncated>",0
"with the cold and flu season underway, many people are struggling with their decision on how to prev... <truncated>",0
"the new trend is detox. detox smoothies, detox water, detox baths, anything to detox your body of un... <truncated>",0
this page lists cancer drugs approved by the food and drug administration (fda) for retinoblastoma. ... <truncated>,4
crohn’s disease is part of a group of disorders known as inflammatory bowel diseases. it causes chro... <truncated>,5
we are all aware of jared’s incredible transformation from “blimpo” to normalcy by eating subway san... <truncated>,5
kale is high on the list of the 100 world’s healthiest foods. but not all kale is created (or cooked... <truncated>,4
"it’s the vitamin that experts say is the most important of all. it can regulate your hormone levels,... <truncated>",5
genetic testing is a hot topic these days. and it’s pretty scary stuff. find out what’s going on wit... <truncated>,5
lower back pain can occur when or after running. doctors would usually prescribe muscle relaxants to... <truncated>,5
a wise person once said that healthy skin is a reflection of you feeling great in general. when it c... <truncated>,2
     (natural news)  researchers from purdue university found that humans are the most significant p... <truncated>,5
"i tell you true, we’re surrounded by enemies everywhere. worse, we don’t know about a whole lot of b... <truncated>",0
"obesity is not merely a cosmetic problem, but a severe threat to health and longevity. that old sayi... <truncated>",4
if you’re anything like me you immediately think about food when you hear the word “holidays”. winte... <truncated>,5
modern medicine wants to kill your gut bacteria. most doctors don’t get that we need these microbes ... <truncated>,0
by dr. peter lloyd fibromyalgia is defined as widespread chronic pain continuing for more than three... <truncated>,3
natural remedies for cystitis – are they effective? the internet is full of advice on effect home re... <truncated>,5
"diabetes, tooth decay, obesity and a compromised immunity are just a few of the negative effects ass... <truncated>",0
these days women are very much obsessed in achieving a thin body. they spend a lot of time in the gy... <truncated>,0
"let’s be real. when the holidays come and all the gigantic meals and treats fill the table, we often... <truncated>",4
"approximately 95 percent of all births in the united states occur in hospitals, 3 percent in birthin... <truncated>",3
"in hawaii, there is a very significant word. that word is makahiki. the definition of makahiki is as... <truncated>",0
"my dear friend, betty martini, the founder of mission possible world health international forwarded ... <truncated>",0
"in a washington post article of december 12, 2001 about donald rumsfeld, there was a one liner that ... <truncated>",4
liver disease is on the warpath–from sea to shining sea and around the world. if you have endocrine ... <truncated>,0
"did you ever wonder how your body protects itself from disease? more important, did you ever wonder ... <truncated>",5
"by now, you probably have come to realize that something is not quite right with the current health ... <truncated>",0
"rowing machines are fitness machine, which should be included in one’s fitness routine.rowing machin... <truncated>",4
"effective, safe weight loss is not just about dieting. it’s about maintaining a healthy lifestyle: n... <truncated>",4
"it is without any doubt that our body is a complicated structure from the head to the neck, right do... <truncated>",0
"perhaps you are an addict and ready to seek treatment, but you feel concerned about some of the thin... <truncated>",0
"advertisement  covid-19 outbreaks are growing fastest in hull, derby, and bath, according to officia... <truncated>",0
psoriasis is an autoimmune disorder characterized by extreme skin dryness and inflammation. the faul... <truncated>,5
"when you finally get your brand new kitchen countertops installed, a sample bottle of commercial cle... <truncated>",0
"for many drug addicts, finding a lasting solution to their dependence on their preferred drug would ... <truncated>",0
"when i was a little kid growing up in newark and going to bergen street elementary school, i remembe... <truncated>",5
these are from a book called disorder in the american courts written by charles sevilla and lee lore... <truncated>,5
hyperbaric oxygen therapy (hbot) has received an increased popularity and recognition in the recent ... <truncated>,0
"as the awareness of ayahuasca continues to grow both online and offline, the interest in attending a... <truncated>",5
the common cold is probably the most poorly understood health complaint. most of us look at a cold a... <truncated>,5
building a customized swimming pool requires the expertise of a professional contractor especially w... <truncated>,4
"(tmu) — according to a new paper published in current biology, a team of neuroscientists from the ne... <truncated>",0
"general facts about 30 different bacteria, parasites and viruses can trigger stis. usually stis and ... <truncated>",0
"according to the centers for disease control and prevention, approximately one in six americans get ... <truncated>",0
"today, the number of patients diagnosed with cancer or the people having a family member trying to c... <truncated>",5
"dr. rochelle walensky, director of the centers for disease control and prevention, on wednesday defe... <truncated>",0
medical crowdfunding — using social networks and media to raise funds for medical treatment — is gro... <truncated>,0
there are different types of water damage resulting from a variety of causes and in remarkably varyi... <truncated>,0
a commonly used drug could dramatically increase survival rates for men who have to fight prostate c... <truncated>,4
who needs lectures? vermont medical school chooses other ways to teach... <truncated>,4
almost everyone in the fitness industry is concerned with lean body mass. more muscle and less fat? ... <truncated>,4
nutrition is an important aspect when it comes to our diet choices. before i started my journey to h... <truncated>,4
"apple inc. and google released their covid-19 exposure-notification tools wednesday, along with chan... <truncated>",0
"so, there’s this guy named richard brill that is a professor of science at the honolulu community co... <truncated>",5
"over the years, hot dogs have been synonymous with classic american summer past-times: baseball game... <truncated>",1
"a crisis in flint – or everywhere? as many of you have heard, there is a serious crisis in flint, mi... <truncated>",0
violence in modern societies is increasingly associated with property crimes as individuals are will... <truncated>,0
"the impetus for this no-sugar added, grain free, organic apple pie recipe occurred when i started to... <truncated>",5
mental health awareness    this week was bell “let’s talk day” (canada) to raise awareness around me... <truncated>,0
"physician, heal thyself. more and more of us are bumping up against the glass ceiling of what conven... <truncated>",0
"imagine that you are a marathon runner, an olympic swimmer or a professional football player for the... <truncated>",5
wiremu bayliss is a living proof that there is nothing you can’t overcome when you put your mind int... <truncated>,0
"ginger, this wonder spice has lots of time-tested healing properties and provides varieties of healt... <truncated>",0
spring is coming and detoxification is starting to be your body’s big requirement. more beautiful da... <truncated>,0
"the very thought of eating insects grosses people out. the image of a creepy, crawly, bug working it... <truncated>",0
"regardless of the reason, it seems like everyone would like to be a little taller. unfortunately, ge... <truncated>",0
"san francisco — it was a thursday morning in mid-november, and here was janet sollod, diminutive and... <truncated>",0
back in 1969 there was a “hooker” named dr. richard day that came out of a weird closet and openly s... <truncated>,3
"if you’ve visited a supplement store recently, you might see that there are many protein powders ava... <truncated>",5
when illness or disease strikes it is important that you feel confident in treating your condition. ... <truncated>,5
anxiety and depression are one of the most difficult conditions to live with and this uneasiness is ... <truncated>,5
"egg hair mask is used to restore your hair’s shine, to feed it and make it healthier. although nowad... <truncated>",4
"earlier, we covered 7 steps to a detailed diy natural exfoliation regimen. as spring quickly approac... <truncated>",3
"if you’ve followed my work for any measure of time, you know that it has been my dream to open a hol... <truncated>",5
an intracellular protein previously known to transport molecules to and from various cellular organe... <truncated>,4
"chicken pox, measles, mumps and whooping cough are all waiting to encumber little kids. before turni... <truncated>",5
preconception nutrition for couples can certain foods boost fertility? absolutely! if you are trying... <truncated>,5
"no, we’re not talking about that —  we’re talking about the stuff diapers are made of. the secret an... <truncated>",4
"did you know that up to 80% of us are deficient of the most vital mineral, and we aren’t even aware ... <truncated>",0
just like a “minor surgery” there is no such thing as a “minor car accident” if you’re the one invol... <truncated>,4
breast cancer is a disease that mostly affects women and causes a lot of fear as there is no known c... <truncated>,0
certain fruits and vegetables can help your body rid itself of epstein-barr virus and other digestiv... <truncated>,0
"strawberries are incredibly delicious, sweet red pieces of heart shaped fruit that offer a beautiful... <truncated>",0
water is nothing less than an elixir considering the many benefits it has to offer. and while it’s e... <truncated>,0
"red, yellow and green, apples come in over 7500 different varieties, giving you plenty of choice for... <truncated>",0
"all of our parents got us to eat our vegetables by saying, “there are kids starving in africa right ... <truncated>",5
"so, recently my only daughter gave birth to a lovely baby girl, my very first granddaughter and i am... <truncated>",0
"if you are reading this, it must mean that you are somewhere on the spectrum of interest in a more v... <truncated>",0
"with all the hullabaloo abounding concerning flus and vaccines, we are constantly bombarded by gover... <truncated>",0
"toothaches are nasty. once they strike, it seems that your whole body is aching too. so, here are re... <truncated>",0
"mastic gum is a sticky substance that is native to the island of chios in greece, originating from t... <truncated>",0
a franciscan friar (monk) who was involved with a catholic parish in brazil got familiar with an ind... <truncated>,0
pimples can be a frustrating problem to deal with. not only can they have an effect on your confiden... <truncated>,5
"as we’ve recently seen acknowledged everywhere in the world of diet and nutrition, including with th... <truncated>",0
the latest research has made a startling revelation about the link between cancer and heart health. ... <truncated>,5
"how healthy is your cooking oil?  we use cooking oils all the time, probably consuming more of the s... <truncated>",5
"right now, 25 percent of all americans are regularly taking sleeping pills, with $18 million being s... <truncated>",5
suppose you feel stressed and anxious. you’re having trouble sleeping or you just feel down. maybe y... <truncated>,0
the walls of your stomach are lined with a layer of cells called the ‘mucosa’. this mucosa is import... <truncated>,0
"my quest to find the best of the best dark chocolate started long, long ago. being vegan and adverse... <truncated>",5
want to have gorgeous hair naturally? unfortunately most hair care products contain harsh and artifi... <truncated>,4
     (natural news)  one way to improve your overall health is by just simply singing — and you don’... <truncated>,5
before getting into this there is a definite given that must be understood. when an idealistic and c... <truncated>,4
“today we have more information and knowledge about the cure and prevention of disease than ever bef... <truncated>,3
many natural health practitioners recommend a 7 day detox every 6 months. there are multiple health ... <truncated>,0
"when i was a little kid growing up in newark, i had a problem – sugar. i could never get enough. and... <truncated>",5
 one summer i lived with a tibetan lama who beat me at arm wrestling.  while i was living with my fr... <truncated>,0
"rather than get really technical and bore you to death with long chemical words, there are two fatty... <truncated>",0
"when i was a little kid growing up in newark and going to bergen street elementary school, i remembe... <truncated>",5
"if there’s a thing of which we vegans are truly guilty, it is the tendency to forget how privilege f... <truncated>",4
"did you know that you can increase your risk of dying by 40%, double your cardiovascular disease, de... <truncated>",5
the research backing tea’s health benefits continue to grow.  tea is a great source of antioxidants ... <truncated>,0
"dht has been getting a lot of press lately, especially in relation to male health and it’s role in h... <truncated>",0
 by elias marat | themindunleashed.com the hallucinogenic drug dmt (dimethyltryptamine) could provid... <truncated>,0
"as a vegan for years, the question of where do you get your protein or your calcium or your whatever... <truncated>",0
excessive belly fat is not something your body wants to have. from genetic factors to missing out on... <truncated>,5
"scabies is a contagious skin condition, which is caused by a virus called sarcoptes scabiei. accordi... <truncated>",0
dealing with acne can be one of the most physically and mentally stressful things men and women go t... <truncated>,5
"sleep meditation is simply a pre-bedtime meditation designed to help you get better sleep.  in fact,... <truncated>",5
"using the metro can save time and money, and is often a better alternative than sitting in traffic. ... <truncated>",4
wifi and your kids do you ever see a teen these days that doesn’t have a cell phone in their hand or... <truncated>,5
did you know that there are dietary links in all tobacco users? these tips can help anyone detox fro... <truncated>,5
"migraines can be simply understood as a severe case of headache. more specifically, they are describ... <truncated>",0
"ringworm is one the most common infectious skin ailments. basically, it is described as a condition,... <truncated>",4
"acid reflux is a common condition in people, especially adults. this is described as the pain not on... <truncated>",0
some experts claim that the timing of when we eat is incredibly important while others insist that y... <truncated>,5
there is a widely known misconception in the world that height of a human being is determined solely... <truncated>,5
holistic spa visits can be a wonderful way to boost your immune system and relax away the stresses o... <truncated>,0
"in the growing world, physiotherapists have made true efforts to bring physiotherapy as a treatment ... <truncated>",0
